DateTime,Title_Text
2022-05-03,"리오프닝 코앞에 둔 하이브의 숙제, ‘넥스트 BTS’ 찾아라 하이브, 올해 1Q 매출액 2850억원…전년比 59.8% ↑ 하이브, 1분기 영업익 370억…전년비 62.7% ↑ 하이브, 1분기 영업익 370억...전년 동기 대비 62.7%↑ 하이브, 1분기 영업익 370억원… 전년 比 62% 늘어 하이브, 1분기 영업이익 370억원…전년比 62.65%↑ 하이브, 1분기 영업이익 370억원…전년比 62.65%↑[주목 e공시] 하이브 1분기 영업익 62.7%↑…""BTS와 끝까지 함께하겠다"" 하이브 “BTS, 시작에 불과… 끝까지 여정 같이할 것” “BTS와 끝까지 함께”...하이브 올 1분기 영업익 62.7%↑ [ET] 마스크 벗고 ‘떼창’… BTS의 ‘하이브’도 날아오를까 하이브, 1분기 영업익 370억…전년비 62.7% 늘어 하이브 1분기 영업익 62.7%↑…""BTS와 끝까지 함께하겠다"" 하이브, 1분기 영업익 370억원…전년비 62.7% ↑"
2022-05-04,"하이브, 신사업 개시로 기초체력 강화에 주목 -NH 하이브, 2분기 음반·음원 실적 역대 최고치 기대-유안타證 배라, 하이브한남점서 '포켓몬 위드 하이브 시티' 운영 SPC 배스킨라빈스, ‘포켓몬 위드 하이브 시티’ 오픈 이베스트證 ""하이브, 하반기 갈수록 주가 올라…저점 매수"" 하이브, 2분기가 실적 모멘텀···BTS 등 모든 아티스트 활동 개시-유진 르세라핌 데뷔 '성공적'…하이브, 목표가 42만원 -유안타證 [클릭 e종목]하이브, BTS 병역 불확실성에 주가 부진…2Q 확실한 성장세 [클릭 e종목] 하이브 ""올해 영업이익 추정치 23% 하향…목표주가 ↓"" 한투증권 ""하이브, 본업·신사업 다각화되는 2분기 주목"" 배스킨 '하이브 한남' 6층 전체 포켓몬 테마로 꾸며 증권가, 하이브 목표주가 조정 엇갈려…장 초반 약세(종합) SPC 배스킨라빈스, ‘포켓몬 위드 하이브 시티’ 오픈 [게시판] 배스킨라빈스, 하이브한남점 포켓몬 테마로 운영 ""BTS 게임 나온다…하이브, 2분기부터 폭풍 모멘텀"" [엔터Biz-D] 하이브, 2.56%↓…1분기 호실적에도 주가 뒷걸음질 “‘BTS 여동생’ 나왔는데”…하이브 첫 걸그룹 ‘르세라핌’ 데뷔에도 증권가는 목표가 줄하향"
2022-05-05,"‘침대+버거’ ‘파충류+랩’ ‘포켓몬+하이브’… 색다른 ‘손’ 잡아라 ""포켓몬 보러 가자""…어린이날 배스킨라빈스 하이브시티 '북적'"
2022-05-06,"하이브, 2Q BTS가 돌아온다…오프라인 공연도 기대-현대차 하이브, BTS·세븐틴·TXT 컴백…중장기적 '매수' 유효-현대차 엔터업계도 NFT 열풍…'BTS' 하이브, '비투비' 큐브 가세"
2022-05-09,"침대+버거, 파충류+랩, 포켓몬+하이브… 색다른 ‘손’ 잡아라"
2022-05-10,"하이브, BTS 군입대 불확실성에 4거래일 연속 하락 BTS 군대 가면 하이브 주가는 누가 지키나…하이브, 4거래일 연속 하락"
2022-05-11,"두나무, 하이브와 손잡고 美 LA에 합작사 설립 두나무·하이브, LA에 합작법인 설립…""NFT 등 분야 사업 협력"" '두나무X하이브' LA에 NFT 합작사 세웠다 방탄소년단 컴백 앞두고 하이브 신저가…병역 논란 때문? ‘두나무+하이브=NFT’ 미국 LA에 NFT 사업 합작법인 설립 美 NFT 사업 나선 하이브, 주가는 시큰둥 [증시이슈]"
2022-05-12,"[엔터Biz-D] 하이브, 6.58%↓…증시 폭락에 올해 최저가"
2022-05-13,"하이브 신선정 GM, 빌보드 선정 ‘젊은 리더’ 올라 하이브비젼, 2차전지 AI검사 솔루션 공급...""신규사업 통한 해외시장 공략"" 배라·던킨·삼립이 선보이는 '하이브 시티(HIVE CITY)'로 모험 떠나요!"
2022-05-14,하이브 로고는 무슨 의미? [알려드립니다]
