,Date,Institution_Total,Other_Corporations,Individual,Foreign_Total
364,2023/05/04,-22797,1163,19137,2497
365,2023/05/03,-30521,7175,-32413,55759
366,2023/05/02,88070,1321,-81470,-7921
367,2023/04/28,14674,-56,-28119,13501
368,2023/04/27,-12067,758,-15156,26465
369,2023/04/26,41500,2412,-18425,-25487
370,2023/04/25,36623,961,-16900,-20684
371,2023/04/24,59509,4084,-29992,-33601
372,2023/04/21,-5332,914,-22277,26695
373,2023/04/20,7359,1277,-41666,33030
374,2023/04/19,-24818,-2777,-51791,79386
375,2023/04/18,-14518,315,-25803,40006
376,2023/04/17,-32226,-1780,-29529,63535
377,2023/04/14,30156,-2700,-124690,97234
378,2023/04/13,9140,2278,-14623,3205
379,2023/04/12,6653,133,-90478,83692
380,2023/04/11,25769,129,-42716,16818
381,2023/04/10,36899,372,-57366,20095
382,2023/04/07,114118,7381,-152628,31129
383,2023/04/06,97646,-45,-256142,158541
384,2023/04/05,22685,101,-37941,15155
385,2023/04/04,18551,-82,-81134,62665
386,2023/04/03,-9708,-410,24116,-13998
387,2023/03/31,-15292,-576,-21836,37704
388,2023/03/30,6953,-89,-7532,668
389,2023/03/29,21932,-123,-57794,35985
390,2023/03/28,58956,-24,-81066,22134
391,2023/03/27,-37023,-1187,13516,24694
392,2023/03/24,-14247,-2896,-20703,37846
393,2023/03/23,-14245,447,-20030,33828
394,2023/03/22,20886,-1030,-32098,12242
395,2023/03/21,67576,-749,-104127,37300
396,2023/03/20,23388,3416,-93917,67113
397,2023/03/17,-11410,-763,-44827,57000
398,2023/03/16,257,-98,-78532,78373
399,2023/03/15,27384,361,7401,-35146
400,2023/03/14,-12330,1989,128530,-118189
401,2023/03/13,77239,-1644,-139049,63454
402,2023/03/10,27315,-1360,-78260,52305
403,2023/03/09,-19071,-126,-9103,28300
404,2023/03/08,-104658,595,106647,-2584
405,2023/03/07,-1690,-1666,-14405,17761
406,2023/03/06,-12411,2153,-20474,30732
407,2023/03/03,1634,60,-8149,6455
408,2023/03/02,8794,-1412,-13483,6101
409,2023/02/28,19304,-1157,-66349,48202
410,2023/02/27,-15147,379,-17918,32686
411,2023/02/24,-1040,171,43725,-42856
412,2023/02/23,-12705,-271,16808,-3832
413,2023/02/22,-29342,945,11060,17337
414,2023/02/21,-23073,-4349,3789,23633
415,2023/02/20,18610,86,-19167,471
416,2023/02/17,-179906,320,124994,54592
417,2023/02/16,-64213,-5002,46625,22590
418,2023/02/15,-32233,-5587,28103,9717
419,2023/02/14,10373,-104,-73805,63536
420,2023/02/13,-143856,-9463,166869,-13550
421,2023/02/10,-210768,1556,258862,-49650
422,2023/02/09,4657,-6887,12793,-10563
423,2023/02/08,92367,7595,-112570,12608
424,2023/02/07,12093,9785,-5301,-16577
425,2023/02/06,-27461,-679,79181,-51041
426,2023/02/03,28959,175,-108405,79271
427,2023/02/02,-36190,5307,34535,-3652
428,2023/02/01,-8639,95,16025,-7481
429,2023/01/31,22819,776,-9030,-14565
430,2023/01/30,-19564,1972,53251,-35659
431,2023/01/27,4216,3098,-26508,19194
432,2023/01/26,20974,104,-61046,39968
433,2023/01/25,-16948,-1447,8070,10325
434,2023/01/20,-7818,-1492,22614,-13304
435,2023/01/19,50263,-8407,-71012,29156
436,2023/01/18,41007,-926,-18758,-21323
437,2023/01/17,35218,-310,18106,-53014
438,2023/01/16,30478,-7156,-30149,6827
439,2023/01/13,6030,-4875,-13157,12002
440,2023/01/12,-7249,3954,13662,-10367
441,2023/01/11,17903,826,-25166,6437
442,2023/01/10,-3506,1203,19184,-16881
443,2023/01/09,20919,-4400,-72682,56163
444,2023/01/06,-9184,-16163,57961,-32614
445,2023/01/05,-7511,-1674,-31078,40263
446,2023/01/04,-27022,378,67200,-40556
447,2023/01/03,3073,-563,-44232,41722
448,2023/01/02,-5440,-20,45339,-39879
449,2022/12/29,24062,-138,-22554,-1370
450,2022/12/28,-3232,-569,1121,2680
451,2022/12/27,10539,1651,-15857,3667
452,2022/12/26,37761,1442,-20152,-19051
453,2022/12/23,31124,1050,-19725,-12449
454,2022/12/22,92905,-1617,-55829,-35459
455,2022/12/21,99749,1119,-70216,-30652
456,2022/12/20,10653,-488,2958,-13123
457,2022/12/19,24972,3437,-18431,-9978
458,2022/12/16,12202,-842,-81157,69797
459,2022/12/15,-13651,2159,38369,-26877
460,2022/12/14,78692,1740,-49892,-30540
461,2022/12/13,31107,372,1143,-32622
462,2022/12/12,59657,-965,-10668,-48024
463,2022/12/09,122693,-3297,-93219,-26177
464,2022/12/08,17215,-1207,-4824,-11184
465,2022/12/07,17676,615,-1070,-17221
466,2022/12/06,-5216,-53,28868,-23599
467,2022/12/05,45029,393,638,-46060
468,2022/12/02,20202,-753,22595,-42044
469,2022/12/01,151643,1142,-118593,-34192
470,2022/11/30,-14726,-2034,4357,12403
471,2022/11/29,57323,-1576,-66782,11035
472,2022/11/28,-1451,1880,1071,-1500
473,2022/11/25,11757,-449,10871,-22179
474,2022/11/24,45451,2727,-11529,-36649
475,2022/11/23,45773,-5758,-57188,17173
476,2022/11/22,-4510,-6136,15840,-5194
477,2022/11/21,15088,67,5559,-20714
478,2022/11/18,-22286,-2060,23773,573
479,2022/11/17,53011,2125,-27684,-27452
480,2022/11/16,38225,-72,-6487,-31666
481,2022/11/15,614,36,-16650,16000
482,2022/11/14,-10752,-144,35974,-25078
483,2022/11/11,137325,161,-142876,5390
484,2022/11/10,-6854,37,7974,-1157
485,2022/11/09,42450,269,-18250,-24469
486,2022/11/08,59444,-1005,-54176,-4263
487,2022/11/07,5640,9,-20063,14414
488,2022/11/04,-53330,-2527,12690,43167
489,2022/11/03,-8968,-3631,20458,-7859
490,2022/11/02,27096,5033,-52543,20414
491,2022/11/01,27713,-4950,-17861,-4902
492,2022/10/31,21125,-308,-950,-19867
493,2022/10/28,33158,3188,-14708,-21638
494,2022/10/27,31024,-125,-45872,14973
495,2022/10/26,-11766,-2056,2019,11803
496,2022/10/25,38097,537,-51132,12498
497,2022/10/24,34876,39,-672,-34243
498,2022/10/21,-6376,68,-17627,23935
499,2022/10/20,-28573,-108,8440,20241
500,2022/10/19,-24580,740,4735,19105
501,2022/10/18,105378,9709,-7376,-107711
502,2022/10/17,-51921,-824,-38833,91578
503,2022/10/14,58243,-434,-36557,-21252
504,2022/10/13,2536,-1149,-13129,11742
505,2022/10/12,5269,232,42452,-47953
506,2022/10/11,-37342,-105,-28321,65768
507,2022/10/07,1760,-779,44642,-45623
508,2022/10/06,-22179,759,15365,6055
509,2022/10/05,-26271,4954,39943,-18626
510,2022/10/04,2825,499,27630,-30954
511,2022/09/30,42075,-133,-55194,13252
512,2022/09/29,-43618,-651,-41385,85654
513,2022/09/28,-26046,321,15336,10389
514,2022/09/27,-1688,1246,2282,-1840
515,2022/09/26,11501,26,-34080,22553
516,2022/09/23,-5285,1380,-7433,11338
517,2022/09/22,-14183,329,47380,-33526
518,2022/09/21,-10357,277,13027,-2947
519,2022/09/20,20328,-338,-9615,-10375
520,2022/09/19,15511,241,-14826,-926
521,2022/09/16,-27375,-13,13125,14263
522,2022/09/15,-21011,109,21202,-300
523,2022/09/14,-4723,-280,2360,2643
524,2022/09/13,3330,47,-21835,18458
525,2022/09/08,6659,-113,-15557,9011
526,2022/09/07,-54049,-6639,17132,43556
527,2022/09/06,-63326,169,130038,-66881
528,2022/09/05,-8355,-1010,-19790,29155
529,2022/09/02,17148,-360,-46730,29942
530,2022/09/01,-26294,817,148065,-122588
531,2022/08/31,42043,647,-1647,-41043
532,2022/08/30,-3649,5555,-35479,33573
533,2022/08/29,-81667,1329,99991,-19653
534,2022/08/26,-14077,-1034,-30236,45347
535,2022/08/25,-12630,1370,2834,8426
536,2022/08/24,-28399,-178,-4238,32815
537,2022/08/23,-75977,335,82264,-6622
538,2022/08/22,15314,19,1368,-16701
539,2022/08/19,-16894,-3461,-27824,48179
540,2022/08/18,-16820,-2676,-8077,27573
541,2022/08/17,-25432,-9600,12795,22237
542,2022/08/16,43279,4219,-46252,-1246
543,2022/08/12,-19382,-333,-14012,33727
544,2022/08/11,30433,415,-11317,-19531
545,2022/08/10,-8824,-1008,62761,-52929
546,2022/08/09,74564,-7225,-85913,18574
547,2022/08/08,-6044,-965,-18353,25362
548,2022/08/05,6475,4734,-24265,13056
549,2022/08/04,-14713,233,-20138,34618
550,2022/08/03,-5783,-5027,-62270,73080
551,2022/08/02,-90671,4061,161244,-74634
552,2022/08/01,-16361,2967,62659,-49265
553,2022/07/29,61870,-1143,-46174,-14553
554,2022/07/28,41408,-22021,27221,-46608
555,2022/07/27,-1280,5258,9256,-13234
556,2022/07/26,-471,-3506,36445,-32468
557,2022/07/25,58871,13598,7820,-80289
558,2022/07/22,18455,7914,-57992,31623
559,2022/07/21,3076,266,-53939,50597
560,2022/07/20,-31625,-2513,17158,16980
561,2022/07/19,-60271,-2472,52606,10137
562,2022/07/18,-57183,-5781,40986,21978
563,2022/07/15,-14922,-1630,23880,-7328
564,2022/07/14,75758,240,-52288,-23710
565,2022/07/13,15324,-1827,-17830,4333
566,2022/07/12,-35176,-3742,-1420,40338
567,2022/07/11,-49471,-3953,39000,14424
568,2022/07/08,5943,3855,47474,-57272
569,2022/07/07,21276,4765,-33805,7764
570,2022/07/06,5641,-584,-14599,9542
571,2022/07/05,9772,-3591,-86251,80070
572,2022/07/04,25296,648,-9987,-15957
573,2022/07/01,-19133,2626,591,15916
574,2022/06/30,3865,-1214,23798,-26449
575,2022/06/29,7341,-159,-61093,53911
576,2022/06/28,70262,1489,-36701,-35050
577,2022/06/27,60471,3155,-68646,5020
578,2022/06/24,41194,1611,-69596,26791
579,2022/06/23,167,-1895,-133802,135530
580,2022/06/22,-35737,3121,54809,-22193
581,2022/06/21,36842,-769,-72920,36847
582,2022/06/20,-4212,1787,-54518,56943
583,2022/06/17,5541,1437,-43285,36307
584,2022/06/16,20669,33439,287258,-341366
585,2022/06/15,-312594,25012,257028,30554
586,2022/06/14,-63339,1297,-21362,83404
587,2022/06/13,-66592,-1656,58497,9751
588,2022/06/10,5681,-606,28710,-33785
589,2022/06/09,73151,-418,-20530,-52203
590,2022/06/08,-5956,254,1231,4471
591,2022/06/07,-18522,215,39334,-21027
592,2022/06/03,28139,-2440,-12558,-13141
593,2022/06/02,-1398,1201,38772,-38575
594,2022/05/31,46765,512,-17827,-29450
595,2022/05/30,27566,1702,-44133,14865
596,2022/05/27,-5891,611,17775,-12495
597,2022/05/26,-25223,-867,38002,-11912
598,2022/05/25,6213,-71,-23973,17831
599,2022/05/24,701,-156,1398,-1943
600,2022/05/23,-774,-78,10651,-9799
601,2022/05/20,-55655,-4552,40752,19455
602,2022/05/19,-33125,-265,-724,34114
603,2022/05/18,-17708,-129,10406,7431
604,2022/05/17,3527,428,-11792,7837
605,2022/05/16,-16978,149,22920,-6091
606,2022/05/13,-30239,-2919,7008,26150
607,2022/05/12,-111832,-2494,39551,74775
608,2022/05/11,-21986,1193,38652,-17859
609,2022/05/10,-55771,-2360,49257,8874
610,2022/05/09,-45187,218,1399,43570
611,2022/05/06,-44484,-137,43948,673
612,2022/05/04,-81574,-745,122969,-40650
613,2022/05/03,2010,-186,-431,-1393
614,2022/05/02,-15548,-129,21598,-5921
615,2022/04/29,-69676,-189,97655,-27790
616,2022/04/28,-5328,-1140,29085,-22617
617,2022/04/27,24132,-134,27056,-51054
618,2022/04/26,23040,872,-20588,-3324
