,Adjusted_Prediction_Date,Average_Sentiment_Score,Recommendation
414,2024-01-02,1.0,1
415,2024-01-05,2.142857142857143,1
416,2024-01-08,2.0,1
417,2024-01-09,1.0,1
418,2024-01-10,1.0,1
419,2024-01-11,3.0,1
420,2024-01-15,2.0,1
421,2024-01-17,2.25,1
422,2024-01-18,2.5,1
423,2024-01-19,1.0,1
424,2024-01-22,1.5,1
425,2024-01-24,2.25,1
426,2024-01-25,1.0,1
427,2024-01-29,2.3333333333333335,1
428,2024-01-30,3.0,1
429,2024-01-31,1.0,1
430,2024-02-01,5.0,1
431,2024-02-02,2.0,1
432,2024-02-05,1.0,1
433,2024-02-07,2.0,1
434,2024-02-08,3.0,1
435,2024-02-12,2.0,1
436,2024-02-15,1.3333333333333333,1
437,2024-02-21,1.0,1
438,2024-02-23,3.0,1
439,2024-02-26,1.6666666666666667,1
440,2024-02-27,2.1475409836065573,1
441,2024-02-28,1.1666666666666667,1
442,2024-02-29,0.8666666666666667,1
443,2024-03-01,0.5,1
444,2024-03-04,2.0,1
445,2024-03-05,1.6666666666666667,1
446,2024-03-07,2.0,1
447,2024-03-11,0.2222222222222222,1
448,2024-03-12,2.5,1
449,2024-03-13,2.0,1
450,2024-03-14,3.5,1
451,2024-03-15,2.25,1
452,2024-03-18,2.0,1
453,2024-03-19,2.0,1
454,2024-03-20,2.6666666666666665,1
455,2024-03-21,2.3333333333333335,1
456,2024-03-22,2.0,1
457,2024-03-25,2.0,1
458,2024-03-26,2.3333333333333335,1
459,2024-03-27,2.076923076923077,1
460,2024-03-28,2.0,1
461,2024-03-29,0.25,1
462,2024-04-01,1.0,1
463,2024-04-02,3.0,1
464,2024-04-03,3.5,1
465,2024-04-04,-0.6666666666666666,0
466,2024-04-05,2.75,1
467,2024-04-08,0.5,1
468,2024-04-09,1.6,1
469,2024-04-10,1.6470588235294117,1
470,2024-04-11,0.8571428571428571,1
471,2024-04-12,-0.4,0
472,2024-04-15,1.7,1
473,2024-04-16,1.7142857142857142,1
474,2024-04-17,1.5,1
475,2024-04-18,2.0,1
476,2024-04-19,2.0,1
477,2024-04-22,-0.9130434782608695,0
478,2024-04-23,-0.5909090909090909,0
479,2024-04-24,-0.7352941176470589,0
480,2024-04-25,-0.875,0
481,2024-04-26,-1.0819672131147542,0
482,2024-04-29,-0.819672131147541,0
483,2024-04-30,-0.06666666666666667,0
484,2024-05-01,-0.9230769230769231,0
485,2024-05-02,-0.12121212121212122,0
486,2024-05-03,-0.030303030303030304,0
487,2024-05-06,-0.5,0
488,2024-05-07,-0.2,0
489,2024-05-08,0.4444444444444444,1
490,2024-05-09,-1.1666666666666667,0
491,2024-05-10,0.6190476190476191,1
492,2024-05-13,-0.5,0
493,2024-05-14,-1.0,0
494,2024-05-15,0.819672131147541,1
495,2024-05-16,0.6851851851851852,1
496,2024-05-17,-0.2,0
497,2024-05-20,-0.45454545454545453,0
498,2024-05-21,-0.42857142857142855,0
499,2024-05-22,-1.0,0
500,2024-05-23,0.7,1
501,2024-05-24,1.3333333333333333,1
502,2024-05-27,1.3333333333333333,1
503,2024-05-28,-0.25925925925925924,0
504,2024-05-29,-0.2727272727272727,0
505,2024-05-30,1.0,1
506,2024-05-31,-0.352112676056338,0
507,2024-06-03,0.4444444444444444,1
508,2024-06-04,1.5714285714285714,1
509,2024-06-05,2.0,1
510,2024-06-07,1.0,1
511,2024-06-10,-1.0,0
512,2024-06-11,-1.0,0
513,2024-06-12,1.375,1
514,2024-06-13,1.0,1
515,2024-06-14,1.5,1
516,2024-06-17,1.6,1
517,2024-06-18,0.8,1
518,2024-06-24,0.47368421052631576,1
519,2024-06-25,-1.0769230769230769,0
520,2024-06-26,1.25,1
521,2024-06-27,-1.0,0
522,2024-06-28,-1.5,0
523,2024-07-01,1.0,1
524,2024-07-05,0.3333333333333333,1
525,2024-07-08,-0.5,0
526,2024-07-09,1.4,1
527,2024-07-10,0.5,1
528,2024-07-11,1.2,1
529,2024-07-16,1.0,1
530,2024-07-18,1.0,1
531,2024-07-19,-1.2,0
532,2024-07-22,0.6666666666666666,1
533,2024-07-23,-1.0,0
534,2024-07-24,1.0,1
535,2024-07-25,0.7560975609756098,1
536,2024-07-26,2.0,1
537,2024-07-29,-1.0,0
538,2024-07-30,0.75,1
539,2024-07-31,1.0,1
540,2024-08-02,2.4,1
541,2024-08-05,1.0,1
542,2024-08-06,2.0,1
543,2024-08-07,1.5454545454545454,1
544,2024-08-08,0.5833333333333334,1
545,2024-08-09,-1.0,0
546,2024-08-12,-0.875,0
547,2024-08-13,1.2941176470588236,1
548,2024-08-14,-1.0,0
549,2024-08-16,1.0,1
550,2024-08-19,-2.0,0
551,2024-08-20,2.0,1
552,2024-08-23,2.5,1
553,2024-08-27,2.0,1
554,2024-08-28,0.8,1
555,2024-08-29,0.3,1
556,2024-08-30,-1.0,0
557,2024-09-02,0.8333333333333334,1
558,2024-09-03,1.0,1
559,2024-09-04,-1.0,0
560,2024-09-06,3.0,1
561,2024-09-09,4.0,1
562,2024-09-10,2.0,1
563,2024-09-12,-0.8461538461538461,0
564,2024-09-13,-0.3333333333333333,0
565,2024-09-16,-1.2222222222222223,0
566,2024-09-19,2.0,1
567,2024-09-20,-1.0,0
568,2024-09-23,-1.375,0
569,2024-09-24,-0.6666666666666666,0
570,2024-09-25,-0.8333333333333334,0
571,2024-09-26,0.75,1
572,2024-09-27,0.3333333333333333,1
573,2024-09-30,0.0,0
574,2024-10-04,2.6666666666666665,1
575,2024-10-07,0.2,1
576,2024-10-08,-0.42857142857142855,0
577,2024-10-09,-1.0,0
578,2024-10-10,-1.3333333333333333,0
579,2024-10-11,0.25,1
580,2024-10-14,0.0,0
581,2024-10-15,0.1111111111111111,1
582,2024-10-16,-0.25,0
583,2024-10-17,1.875,1
584,2024-10-18,1.0,1
585,2024-10-21,1.5714285714285714,1
586,2024-10-22,-1.0,0
587,2024-10-23,1.3333333333333333,1
